Date,Team,Acquired,Relinquished,Notes
2002-04-26, Hornets, ,Jamal Mashburn, virus / anemia & B12 deficiency (DNP)
2002-04-26, Spurs, ,David Robinson, strained lower back (DNP)
2002-04-27, Hornets, ,Jamal Mashburn, virus / anemia & B12 deficiency (DNP)
2002-04-27, Raptors, ,Eric Montross, sprained left foot (DNP)
2002-04-27, Spurs, ,David Robinson, sore lower back (DNP)
2002-04-28, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-04-28, Mavericks, ,Adrian Griffin, back spasms (DNP)
2002-04-29, Raptors, ,Eric Montross, sprained left foot (DNP)
2002-04-29, Sonics, ,Rashard Lewis, partially dislocated left shoulder (out 3 weeks)
2002-04-30, Hornets, ,Jamal Mashburn, virus / anemia & B12 deficiency (DNP)
2002-04-30, Raptors, ,Eric Montross, stress fracture in left foot (out for season)
2002-05-01, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-01, Sonics, ,Rashard Lewis, partially dislocated left shoulder (DNP)
2002-05-01, Spurs, ,David Robinson, sore lower back (DNP)
2002-05-03, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-03, Sonics, ,Rashard Lewis, partially separated left shoulder (DNP)
2002-05-03, Spurs, ,Charles Smith (Cornelius), sprained right shoulder (DNP)
2002-05-03, Spurs, ,David Robinson, sprained lower back (DNP)
2002-05-04, Kings, ,Mateen Cleaves, sprained left ankle (DTD)
2002-05-04, Mavericks, ,Adrian Griffin, back spasms (DNP)
2002-05-05, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-05, Hornets, ,Jamal Mashburn, viral illness (DNP)
2002-05-05, Pistons, ,Zeljko Rebraca, broken right hand (out for season)
2002-05-05, Pistons, ,Zeljko Rebraca, broken right hand (DNP)
2002-05-05, Spurs, ,Charles Smith (Cornelius), sprained right shoulder (DNP)
2002-05-05, Spurs, ,David Robinson, strained lower back (DNP)
2002-05-06, Pistons, ,Zeljko Rebraca, surgery on broken right hand
2002-05-07, Hornets, ,Jamal Mashburn, viral illness (DNP)
2002-05-07, Spurs, ,Charles Smith (Cornelius), sprained right shoulder (DNP)
2002-05-07, Spurs, ,David Robinson, sore lower back (DNP)
2002-05-08, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-08, Pistons, ,Zeljko Rebraca, broken right hand (DNP)
2002-05-09, Hornets, ,Jamal Mashburn, viral illness (DNP)
2002-05-09, Kings,Mateen Cleaves, , returned to lineup
2002-05-10, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-10, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DTD)
2002-05-10, Pistons, ,Zeljko Rebraca, broken right hand (DNP)
2002-05-11, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DNP)
2002-05-12, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-12, Hornets, ,Jamal Mashburn, viral illness (DNP)
2002-05-12, Pistons, ,Zeljko Rebraca, broken right hand (DNP)
2002-05-13, Kings, ,Mateen Cleaves, sprained left ankle (DTD)
2002-05-13, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DNP)
2002-05-14, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-14, Pistons, ,Zeljko Rebraca, broken right hand (DNP)
2002-05-14, Raptors, ,Alvin Williams, arthroscopic surgery on right knee
2002-05-15, Hornets, ,Jamal Mashburn, viral illness (DNP)
2002-05-16, Suns, ,Stephon Marbury, surgery on right ankle to remove general inflammation
2002-05-18, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DNP)
2002-05-18, Kings,Mateen Cleaves, , returned to lineup
2002-05-19, Celtics, ,Vitaly Potapenko, surgery on left knee to repair partially torn ACL (out 6-8 months)
2002-05-19, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-20, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DNP)
2002-05-21, 76ers, ,Craig Claxton / Speedy Claxton, arthroscopic surgery on left shoulder
2002-05-21, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-21, Mavericks, ,Adrian Griffin, surgery on back to remove herniated disc
2002-05-21, Raptors, ,Alvin Williams, arthroscopic surgery on right knee
2002-05-23, Blazers, ,Scottie Pippen, minor surgery on right knee
2002-05-24, Jazz, ,Donyell Marshall, surgery on right wrist
2002-05-24, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DNP)
2002-05-25, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-26, Kings, ,Predrag Stojakovic / Peja Stojakovic, sprained right ankle (DNP)
2002-05-27, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-29, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-30, Rockets, ,Steve Francis, surgery on right shoulder to repair lining
2002-05-31, Celtics, ,Vitaly Potapenko, partially torn ACL in left knee (DNP)
2002-05-31, Mavericks, ,Dirk Nowitzki, surgery on left ankle to remove bone spurs
2002-06-10, 76ers, ,Derrick Coleman, arthroscopic surgery on left knee
2002-06-11, Celtics, ,Eric Williams, arthroscopic surgery on left knee to remove loose particles and surgery on right pinky finger to straighten it
2002-06-18, 76ers, ,Aaron McKie, arthroscopic surgery on right shoulder (out 3-4 months)
2002-06-18, Raptors, ,Alvin Williams, arthroscopic surgery on left knee to remove inflammation and on left ankle to remove bone spurs
2002-06-20, Nets, ,Aaron Williams, arthroscopic surgery on both knees to remove debris
2002-06-20, Nets, ,Kenyon Martin (Sr.), surgery on right wrist to remove bone chips
2002-06-27, Jazz, ,Greg Ostertag, surgery to donate kidney to sister
2002-07-10, Rockets, ,Bostjan Nachbar, surgery to repair hernia (date approximate)
2002-07-17, Knicks, ,Frank Williams, surgery on broken left wrist
2002-07-19, Clippers, ,Keyon Dooling, arthroscopic surgery on left ankle (out 6 weeks)
2002-07-21, Jazz, ,Curtis Borchardt, stress fracture in right foot (out 4-6 weeks)
2002-07-26, Cavaliers, ,Bryant Stith, arthroscopic surgery on right knee
2002-07-30, Cavaliers, ,DeSagana Diop, arthroscopic surgery on right knee
2002-08-14, Heat, ,Eddie House, broken ring finger on left hand (out 4-6 weeks)
2002-08-19, Jazz, ,Curtis Borchardt, surgery on right foot to insert screw (date approximate)
2002-08-19, Jazz, ,Raul Lopez, torn ACL in right knee (out for season)
2002-08-20, Nuggets, ,Nene / Nene Hilario / Maybyner Hilario, strained left abductor muscle (out 1 month)
2002-08-20, Wizards, ,Jahidi White, surgery on left knee to repair quadriceps tendon (out 3 months)
2002-08-26, Clippers, ,Lamar Odom, injured ankle (out 12 weeks)
2002-08-26, Magic, ,Steven Hunter, torn ACL in right knee (out indefinitely)
2002-08-28, Bucks, ,Joel Przybilla, surgery to remove bone spurs from left ankle
2002-09-10, Bulls, ,Roger Mason Jr., right shoulder injury (out indefinitely)
2002-09-11, Lakers, ,Shaquille O'Neal, surgery on right big toe (out 6 weeks)
2002-09-12, Bulls, ,Roger Mason Jr., surgery on dislocated right shoulder (out 4 months)
2002-09-12, Heat, ,Alonzo Mourning, kidney disorder (out indefinitely)
2002-09-12, Pacers, ,Austin Croshere, surgery on right foot to repair stress fracture (out 6-8 weeks)
2002-09-13, Hawks, ,DerMarr Johnson, 3 cervical vertebrae fractures in his neck (car accident) (out for season)
2002-09-23, Kings, ,Mateen Cleaves, surgery on left foot in insert pin (out indefinitely)
2002-09-26, Clippers, ,Elton Brand, arthroscopic surgery on right knee to repair minor tear in lateral knee cartilage (out 3-4 weeks)
2002-09-30, Knicks, ,Latrell Sprewell, broken bone in right hand (out indefintely)
2002-09-30, Knicks, ,Latrell Sprewell, surgery on right hand to repair fractured bone (out indefinitely)
2002-09-30, Raptors, ,Hakeem Olajuwon, back injury (excused from training camp)
2002-10-02, Hornets, ,Matt Bullard, degenerative disc disease in lower back
2002-10-03, Raptors, ,Eric Montross, stress fracture in left foot (out indefinitely)
2002-10-04, 76ers, ,Greg Buckner, sprained ligament in right knee (out 4-6 weeks)
2002-10-10, Nuggets, ,Marcus Camby, surgery on right hip to repair tear in cartilage that lines the hip
2002-10-12, Celtics, ,Kedrick Brown, sprained right ankle (out 4-6 weeks)
2002-10-12, Kings, ,Mike Bibby, surgery on right foot to repair stress fracture (out 6-8 weeks)
2002-10-12, Knicks, ,Antonio McDyess, fractured left kneecap (out indefinitely)
2002-10-15, Rockets, ,Martyn Norris / Moochie Norris, dislocated right pinky finger (out indefinitely)
2002-10-16, Knicks, ,Antonio McDyess, surgery on left knee to repair fractured kneecap (out for season)
2002-10-17, Hornets, ,Elden Campbell, arthroscopic surgery on left knee to clean out loose particles
2002-10-20, Pistons, ,Don Reid, torn right Achilles tendon (out for season)
2002-10-20, Timberwolves, ,Felipe Lopez, torn MCL and ACL in left knee (out for season)
2002-10-22, Raptors, ,Lamond Murray, sprained ligament in right mid-foot (out 8-10 weeks)
2002-10-22, Raptors, ,Nate Huffman, arthroscopic surgery on right knee (out 4-6 weeks)
2002-10-25, 76ers, ,Monty Williams, arthroscopic surgery on left knee to repair torn cartilage (out 4-6 weeks)
2002-10-25, 76ers, ,Samuel Dalembert, arthroscopic surgery on left knee (out 3 months)
2002-10-26, Pacers, ,Reggie Miller, deep bone bruise in right ankle (out 2 weeks)
2002-10-28, Raptors, ,Lamond Murray, surgery on right mid-foot to repair torn ligament (out 16 weeks)
2002-10-29, 76ers, ,Derrick Coleman, recovering from surgery on left knee (DNP)
2002-10-29, 76ers, ,Greg Buckner, sprained right knee (DNP)
2002-10-29, Cavaliers, ,Chris Mihm, strained left hamstring (DNP)
2002-10-29, Hornets, ,Bryce Drew, surgery to repair fractured orbital bone of left eye
2002-10-30, 76ers, ,Derrick Coleman, recovering from surgery on left knee (DNP)
2002-10-30, 76ers, ,Greg Buckner, sprained right knee (DNP)
2002-10-30, Bucks, ,Anthony Mason (Sr.), sore left hamstring (DNP)
2002-10-30, Cavaliers, ,Chris Mihm, strained left hamstring (DNP)
2002-10-30, Grizzlies, ,Stromile Swift, flu (DNP)
2002-10-30, Hawks, ,Nazr Mohammed, bone bruise in right foot (DNP)
2002-10-30, Hawks, ,Shareef Abdur-Rahim, sore/stiff back (DNP)
2002-10-30, Heat, ,Anthony Carter, strep throat (DNP)
2002-10-30, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-10-30, Knicks, ,Michael Doleac, strained left hamstring (DNP)
2002-10-30, Magic, ,Horace Grant, sore left knee (DNP)
2002-10-30, Pacers, ,Jamaal Tinsley, sprained right ankle (DNP)
2002-10-30, Raptors, ,Nate Huffman, recovering from surgery on right knee (DNP)
2002-10-30, Rockets, ,Glen Rice (Sr.), sprained right knee (DNP)
2002-10-30, Rockets, ,Kenny Thomas, fractured right thumb (DNP)
2002-10-30, Sonics, ,Kenny Anderson, back spasms (DNP)
2002-10-30, Spurs, ,Steve Smith (Delano), strained right groin (DNP)
2002-10-30, Timberwolves, ,Wally Szczerbiak, left foot injury (DNP)
2002-10-31, Hawks, ,Dion Glover, sprained left ankle (DNP)
2002-10-31, Kings, ,Chris Webber, lower abdominal strain (DNP)
2002-10-31, Kings, ,Mateen Cleaves, recovering from surgery on left foot (DTD)
2002-11-01, 76ers, ,Derrick Coleman, recovering from surgery on left knee (DNP)
2002-11-01, Cavaliers, ,Chris Mihm, strained left hamstring (DNP)
2002-11-01, Grizzlies, ,Stromile Swift, flu (DNP)
2002-11-01, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-11-01, Knicks, ,Michael Doleac, strained left hamstring (DNP)
2002-11-01, Magic, ,Horace Grant, sore left knee (DNP)
2002-11-01, Raptors, ,Nate Huffman, recovering from surgery on right knee (DNP)
2002-11-01, Rockets, ,Glen Rice (Sr.), strained right knee (DNP)
2002-11-01, Rockets, ,Kenny Thomas, fractured right thumb (DNP)
2002-11-01, Sonics, ,Kenny Anderson, back spasms (DNP)
2002-11-01, Spurs, ,Steve Smith (Delano), strained right groin (DNP)
2002-11-01, Timberwolves, ,Wally Szczerbiak, left foot injury (DNP)
2002-11-02, Grizzlies, ,Michael Dickerson, DNP
2002-11-02, Heat, ,Anthony Carter, strep throat (DNP)
2002-11-02, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-11-02, Kings, ,Chris Webber, lower abdominal strain (DNP)
2002-11-02, Kings, ,Scot Pollard, strained lower back (DNP)
2002-11-02, Knicks, ,Michael Doleac, strained left hamstring (DNP)
2002-11-02, Magic, ,Horace Grant, sore left knee (DNP)
2002-11-02, Nuggets, ,Juwan Howard, stomach virus (DNP)
2002-11-02, Raptors, ,Nate Huffman, recovering from surgery on right knee (DNP)
2002-11-02, Rockets, ,Glen Rice (Sr.), strained right knee (DNP)
2002-11-02, Timberwolves, ,Wally Szczerbiak, dislocated fifth metatarsal on left foot (DNP)
2002-11-03, Heat, ,Anthony Carter, strep throat (DNP)
2002-11-03, Kings, ,Chris Webber, lower abdominal strain (DNP)
2002-11-03, Kings, ,Scot Pollard, strained lower back (DNP)
2002-11-04, Knicks, ,Michael Doleac, strained left hamstring (DNP)
2002-11-04, Mavericks, ,Raef LaFrentz, sprained right ankle (out 3-6 weeks)
2002-11-04, Mavericks, ,Raef LaFrentz, sprained right ankle (DNP)
2002-11-04, Raptors, ,Antonio Davis, sprained left rib muscle (DNP)
2002-11-04, Raptors, ,Nate Huffman, recovering from surgery on right knee (DNP)
2002-11-04, Raptors, ,Vince Carter, left quadriceps injury (DNP)
2002-11-04, Spurs, ,Steve Smith (Delano), strained right groin (DNP)
2002-11-04, Timberwolves, ,Wally Szczerbiak, dislocated fifth metatarsal on left foot (DNP)
2002-11-05, Heat, ,Anthony Carter, strep throat (DNP)
2002-11-05, Kings, ,Hidayet Turkoglu / Hedo Turkoglu, food poisoning (DNP)
2002-11-05, Kings, ,Scot Pollard, strained lower back (DNP)
2002-11-05, Kings, ,Vlade Divac, strained lower back (DNP)
2002-11-05, Magic, ,Horace Grant, sore left knee (DNP)
2002-11-05, Spurs, ,Steve Smith (Delano), strained right groin (DNP)
2002-11-05, Timberwolves, ,Wally Szczerbiak, dislocated fifth metatarsal on left foot (DNP)
2002-11-06, 76ers, ,Derrick Coleman, recovering from surgery on left knee (DNP)
2002-11-06, Blazers, ,Arvydas Sabonis, sore right hamstring (DNP)
2002-11-06, Blazers, ,Bonzi Wells, sore right foot (DNP)
2002-11-06, Cavaliers, ,Chris Mihm, strained left hamstring (DNP)
2002-11-06, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-11-06, Jazz, ,Karl Malone, cold (DNP)
2002-11-06, Kings, ,Keon Clark, strained groin (DNP)
2002-11-06, Knicks, ,Michael Doleac, strained left hamstring (DNP)
2002-11-06, Mavericks, ,Evan Eschmeyer, strained right knee (DNP)
2002-11-06, Mavericks, ,Raef LaFrentz, sprained right ankle (DNP)
2002-11-06, Raptors, ,Antonio Davis, sprained left rib muscle (DNP)
2002-11-06, Raptors, ,Nate Huffman, recovering from surgery on right knee (DNP)
2002-11-06, Raptors, ,Vince Carter, left quadriceps injury (DNP)
2002-11-08, 76ers, ,Derrick Coleman, recovering from surgery on left knee (DNP)
2002-11-08, Blazers, ,Arvydas Sabonis, strained right hamstring (DNP)
2002-11-08, Blazers, ,Derek Anderson, concussion (DNP)
2002-11-08, Cavaliers, ,Chris Mihm, strained left hamstring (DNP)
2002-11-08, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-11-08, Kings, ,Scot Pollard, stress fracture in lower back (out 4-6 weeks)
2002-11-08, Kings, ,Scot Pollard, stress fracture in lower back (DNP)
2002-11-08, Knicks, ,Michael Doleac, strained left hamstring (DNP)
2002-11-08, Mavericks, ,Evan Eschmeyer, strained right knee (DNP)
2002-11-08, Mavericks, ,Raef LaFrentz, sprained right ankle (DNP)
2002-11-08, Raptors, ,Vince Carter, strained left quadriceps tendon (out 4-6 weeks)
2002-11-08, Sonics, ,Jerome James, plantar fasciatis in right foot (DNP)
2002-11-09, Blazers, ,Derek Anderson, concussion (DNP)
2002-11-09, Cavaliers, ,Chris Mihm, sore left hamstring (DNP)
2002-11-09, Heat, ,Travis Best, sprained right ankle (DNP)
2002-11-09, Mavericks, ,Evan Eschmeyer, strained right knee (DNP)
2002-11-09, Mavericks, ,Ronald Jones / Popeye Jones, back spasms
2002-11-09, Mavericks, ,Ronald Jones / Popeye Jones, back spasms (DNP)
2002-11-09, Raptors, ,Antonio Davis, sprained left rib muscle (DNP)
2002-11-09, Raptors, ,Jelani McCoy, strained lower back (DNP)
2002-11-09, Raptors, ,Nate Huffman, recovering from surgery on right knee (DNP)
2002-11-09, Raptors, ,Vince Carter, strained left quadriceps tendon (DNP)
2002-11-09, Sonics, ,Jerome James, plantar fasciatis in right foot (DNP)
2002-11-09, Spurs, ,Steve Smith (Delano), strained right groin (DNP)
2002-11-09, Timberwolves, ,Wally Szczerbiak, sprained left knee (DNP)
2002-11-10, Clippers, ,Quentin Richardson, bruised right knee (DNP)
2002-11-10, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-11-10, Kings, ,Scot Pollard, stress fracture in lower back (DNP)
2002-11-10, Knicks, ,Charlie Ward, bruised right lower leg (DNP)
2002-11-11, Blazers, ,Derek Anderson, concussion (DNP)
2002-11-11, Grizzlies, ,Brevin Knight, sprained right ankle (DNP)
2002-11-11, Mavericks, ,Evan Eschmeyer, strained right knee (DNP)
2002-11-11, Mavericks, ,Nick Van Exel, arthroscopic surgery on right knee to repair damaged cartilage (out 3-6 weeks)
2002-11-11, Mavericks, ,Ronald Jones / Popeye Jones, back spasms (DNP)
2002-11-11, Spurs, ,Steve Smith (Delano), strained right groin (DNP)
2002-11-11, Timberwolves, ,Wally Szczerbiak, sprained left knee (DNP)
2002-11-12, Blazers, ,Derek Anderson, concussion (DNP)
2002-11-12, Heat, ,Sean Marks, plantar fasciatis (DNP)
2002-11-12, Heat, ,Travis Best, sprained right ankle (DNP)
2002-11-12, Hornets, ,Bryce Drew, fractured orbital wall of left eye (DNP)
2002-11-12, Knicks, ,Charlie Ward, strained right lower leg (DNP)
2002-11-12, Lakers, ,Devean George, sprained right ankle (DNP)
2002-11-12, Raptors, ,Antonio Davis, sprained left rib muscle (DNP)
